policy_id,sponsor_age,sponsor_sex,sponsor_relationship,student_age,student_sex,income_band,scholarship_flag,tuition_per_sem,expected_years,risk_score,risk_tier,premium_per_sem,maturity_benefit
1,65,M,parent,25,M,medium,1,3070045.0,3,2.0,STANDARD,197101.35,0
2,69,M,other_relative,24,M,low,1,3401579.0,4,5.0,HIGH_RISK,351047.37,500000
3,53,F,parent,19,M,low,1,3330916.0,3,1.5,STANDARD,204927.48,500000
4,45,F,parent,22,F,low,1,1634217.0,5,3.0,SUBSTANDARD,251999.99999999997,500000
5,41,M,parent,23,M,low,0,2472577.0,5,3.5,SUBSTANDARD,251999.99999999997,500000
6,53,M,parent,24,M,medium,1,3314641.0,3,0.0,PREFERRED,159439.23,500000
7,48,M,other_relative,23,M,low,1,2992913.0,3,2.0,STANDARD,194787.39,500000
8,40,M,parent,23,F,medium,0,2303441.0,3,0.0,PREFERRED,135000.0,500000
9,48,F,grandparent,23,M,low,1,2363920.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
10,51,F,other,25,M,medium,0,3121699.0,3,2.5,STANDARD,198650.97,500000
11,56,M,parent,18,M,low,0,1564684.0,5,5.5,HIGH_RISK,324000.0,500000
12,39,F,parent,22,F,low,1,1712334.0,4,1.0,PREFERRED,135000.0,500000
13,67,F,grandparent,19,M,medium,0,2365801.0,5,6.0,HIGH_RISK,324000.0,500000
14,50,M,other_relative,24,M,medium,0,1454164.0,4,2.0,STANDARD,180000.0,0
15,68,M,grandparent,22,F,low,0,3156421.0,4,7.0,HIGH_RISK,343692.63,500000
16,61,F,grandparent,22,F,high,1,2285461.0,5,2.0,STANDARD,180000.0,500000
17,42,F,grandparent,21,F,medium,1,3418583.0,5,1.0,PREFERRED,162557.49,500000
18,64,M,parent,24,M,medium,1,1543720.0,3,0.5,PREFERRED,135000.0,500000
19,61,F,parent,19,F,medium,0,3324501.0,3,2.0,STANDARD,204735.03,500000
20,39,M,grandparent,20,F,medium,0,2759996.0,5,2.5,STANDARD,187799.88,500000
21,59,M,parent,21,M,low,1,2234732.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
22,57,M,other_relative,19,F,low,1,2208587.0,4,3.5,SUBSTANDARD,251999.99999999997,500000
23,68,M,parent,25,F,medium,0,1507725.0,5,5.0,HIGH_RISK,324000.0,0
24,57,M,parent,22,M,medium,1,3472696.0,3,0.5,PREFERRED,164180.88,500000
25,63,M,parent,25,M,high,1,3305089.0,5,1.0,PREFERRED,159152.66999999998,500000
26,55,F,parent,18,M,low,1,2693638.0,3,2.5,STANDARD,185809.14,500000
27,53,M,parent,21,M,medium,0,2653570.0,3,1.0,PREFERRED,139607.1,500000
28,55,M,parent,18,F,low,1,1522402.0,4,3.0,SUBSTANDARD,251999.99999999997,500000
29,50,M,other_relative,24,F,low,1,2123463.0,4,2.5,STANDARD,180000.0,500000
30,45,M,parent,22,M,medium,1,1561579.0,3,0.0,PREFERRED,135000.0,500000
31,65,F,grandparent,23,M,medium,0,3327114.0,4,5.0,HIGH_RISK,348813.42,500000
32,49,F,parent,24,M,low,1,1543014.0,4,2.0,STANDARD,180000.0,0
33,64,F,parent,25,F,medium,1,3193541.0,4,1.0,PREFERRED,155806.23,500000
34,60,F,other_relative,25,F,high,1,2954187.0,3,0.0,PREFERRED,148625.61,500000
35,42,F,parent,18,M,medium,1,2140947.0,4,0.0,PREFERRED,135000.0,500000
36,52,F,parent,20,M,low,0,2730561.0,5,4.5,SUBSTANDARD,258916.82999999996,500000
37,40,M,parent,18,M,low,1,1404402.0,4,1.0,PREFERRED,135000.0,500000
38,51,F,parent,18,F,medium,0,1345795.0,3,1.0,PREFERRED,135000.0,500000
39,48,M,other_relative,19,M,medium,0,1219307.0,4,2.0,STANDARD,180000.0,500000
40,64,M,other_relative,20,M,low,1,2261095.0,5,4.5,SUBSTANDARD,251999.99999999997,500000
41,44,M,parent,18,F,medium,0,2513912.0,3,0.0,PREFERRED,135417.36,500000
42,43,F,parent,23,F,low,1,3477543.0,3,0.5,PREFERRED,164326.29,500000
43,59,M,parent,20,F,medium,1,1467145.0,3,0.5,PREFERRED,135000.0,500000
44,51,F,parent,23,M,low,0,2606508.0,4,3.5,SUBSTANDARD,255195.23999999996,500000
45,66,M,parent,19,M,low,0,3398747.0,4,6.0,HIGH_RISK,350962.41,500000
46,60,M,grandparent,20,M,medium,0,1426050.0,3,3.0,SUBSTANDARD,251999.99999999997,500000
47,43,M,parent,22,F,medium,0,2844001.0,3,0.0,PREFERRED,145320.03,500000
48,40,M,parent,24,F,medium,1,3249654.0,4,0.0,PREFERRED,157489.62,500000
49,52,M,other_relative,24,F,medium,1,2994929.0,4,0.5,PREFERRED,149847.87,500000
